59f08d4c-a150-4c22-89a8-e06066729595,5 grudnia 2006(upload to Commons),symbol,https://pl.wikipedia.org//wiki/Plik:POL_powiat_aleksandrowski_COA.svg,vector versionBastianow,https://upload.wikimedia.org/wikipedia/commons/a/ad/POL_powiat_aleksandrowski_COA.svg,Praca własnaTa ^specifik^ z W3Cgrafika wektorowazostała stworzona za pomocąInkscape.,Polski:Herb powiatualeksandrowskiegoEnglish:Aleksandrów Kujawski District Coat of Arms,0401
5163268a-5b0a-470e-89e0-8580985289c4,5 grudnia 2006,flag,https://pl.wikipedia.org//wiki/Plik:POL_powiat_aleksandrowski_flag.svg,vector versionBastianow(Bastian),https://upload.wikimedia.org/wikipedia/commons/a/a7/POL_powiat_aleksandrowski_flag.svg,Ta ^specifik^ z W3Cgrafika wektorowazostała stworzona za pomocąInkscapeprzezBastianowa(Bastiana) na podstawie wersji rastrowej .,Polski:Flaga powiatualeksandrowskiegoEnglish:Aleksandrów Kujawski County flagEsperanto:Flago de Distrikto Aleksandrowski,0401
380aee1f-8d68-4f11-8062-225d0e2f391a,,photo,https://pl.wikipedia.org//wiki/Plik:Straszewo_Ko%C5%9Bci%C3%B3%C5%82_pw_%C5%9Aw_Marcina.jpg,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Straszewo_Ko%C5%9Bci%C3%B3%C5%82_pw_%C5%9Aw_Marcina.jpg,,,0401
a0dfc5b3-584a-4bba-bd3f-eda43195168e,7 marca 2021,detailed_map,https://pl.wikipedia.org//wiki/Plik:Aleksandr%C3%B3w_County_administrative_map-PL.svg,SANtosito,https://upload.wikimedia.org/wikipedia/commons/6/63/Aleksandr%C3%B3w_County_administrative_map-PL.svg,Praca własna,Polski:Mapa administracyjna powiatu aleksandrowskiego.,0401
ddf2969c-090e-4fb7-85a6-f899ae85c055,7 marca 2021,undetailed_map,https://pl.wikipedia.org//wiki/Plik:Locator_map_Aleksandr%C3%B3w_County_in_Kuyavian-Pomeranian_Voivodeship.svg,SANtosito,https://upload.wikimedia.org/wikipedia/commons/9/99/Locator_map_Aleksandr%C3%B3w_County_in_Kuyavian-Pomeranian_Voivodeship.svg,Praca własna,English:Locator map of Aleksandrów County in Kuyavian-Pomeranian Voivodeship,0401
80e9691f-6d3b-4411-9460-94ac90cd30cf,"13 maja 2014, 15:44:09",symbol,https://pl.wikipedia.org//wiki/Plik:POL_Powiat_augustowski_COA.svg,Gettyng,https://upload.wikimedia.org/wikipedia/commons/a/ac/POL_Powiat_augustowski_COA.svg,Praca własnaTa ^specifik^ z W3Cgrafika wektorowazostała stworzona za pomocąInkscape.,Polski:Herb powiatuaugustowskiegoEnglish:Augustów District Coat of Arms,2001
5c037484-60a4-41f0-90d4-d26580e8ede5,"27 lutego 2014, 23:20:15",flag,https://pl.wikipedia.org//wiki/Plik:POL_powiat_augustowski_flag.svg,Gettyng,https://upload.wikimedia.org/wikipedia/commons/0/00/POL_powiat_augustowski_flag.svg,Ta ^specifik^ z W3Cgrafika wektorowazostała stworzona za pomocąInkscape.,Polski:Flagapowiatu augustowskiego,2001
7d9511ed-f66e-40c5-ac33-63e03e4b1bfa,6 września 2008,photo,https://pl.wikipedia.org//wiki/Plik:%C5%9Aluza_Sosnowo.jpg,Vmario,https://upload.wikimedia.org/wikipedia/commons/d/db/%C5%9Aluza_Sosnowo.jpg,Praca własna,Polski:Śluza Sosnowo na Kanale Augustowskim,2001
9368092c-b54b-49a6-bc53-dfbe1f6f79a7,8 marca 2012,detailed_map,https://pl.wikipedia.org//wiki/Plik:POL_locator_map_of_gminas_of_powiat_augustowski.svg,Witia,https://upload.wikimedia.org/wikipedia/commons/9/91/POL_locator_map_of_gminas_of_powiat_augustowski.svg,Praca własna,Polski:Gminy w powiecie augustowskim w województwie podlaskim (na podstawie danych zhttp://maps.geoportal.gov.pl/).English:Gminas (communes) in powiat augustowski (Augustów county) in Podlaskie Voivodeship in Poland (based on data fromhttp://maps.geoportal.gov.pl/).,2001
53c0cfbe-6733-4cca-afa5-c153165bee2c,23 marca 2009,undetailed_map,https://pl.wikipedia.org//wiki/Plik:POL_powiat_augustowski_map.svg,Poznaniak,https://upload.wikimedia.org/wikipedia/commons/4/4e/POL_powiat_augustowski_map.svg,Praca własna,Położeniepowiatu augustowskiegona mapie województwa podlaskiego,2001
aba71e89-8b5f-4912-86f4-8c28f49d60aa,18 stycznia 2020,symbol,https://pl.wikipedia.org//wiki/Plik:POL_powiat_bartoszycki_COA.svg,Poznaniak,https://upload.wikimedia.org/wikipedia/commons/c/ca/POL_powiat_bartoszycki_COA.svg,"własna praca na podstawie: Uchwała Nr LIII/303/2018 Rady Powiatu Bartoszyckiego z dnia 26 października 2018 r. w sprawie uchwalenia statutu powiatu (Dz. Urz. Woj. Warmińsko-Mazurskiego z 2018 r. Nr BRAK, poz. 4683)",Polski:Herbpowiatu bartoszyckiego,2801
96c3d406-e7a4-42c9-afbd-d9d6034ace61,29 stycznia 2008,flag,https://pl.wikipedia.org//wiki/Plik:POL_powiat_bartoszycki_flag.svg,Poznaniak,https://upload.wikimedia.org/wikipedia/commons/9/9a/POL_powiat_bartoszycki_flag.svg,Ta ^specifik^ z W3Cgrafika wektorowazostała stworzona za pomocąInkscape.,Flagapowiatu bartoszyckiego,2801
2391b1f4-d3d6-407e-bc18-386aee5dadef,28 września 2008,photo,https://pl.wikipedia.org//wiki/Plik:Ko%C5%9Bci%C3%B3%C5%82_w_Sokolicy.jpg,KubaaJ,https://upload.wikimedia.org/wikipedia/commons/a/ac/Ko%C5%9Bci%C3%B3%C5%82_w_Sokolicy.jpg,Praca własna,"English:St Anne's Church in Sokolica in Warmian-Masurian Voivodeship in Poland (XIV)Polski:Kościół św. Anny w Sokolicy w województwie warmińsko-mazurskim, gotycki, XIV wiek (zabytek nr rejestr. A-127)",2801
